db_id,db_name,dance_style,db_level,is_updated,scraped_name,scraped_level,step_count,comment_count,url,parsed_file_path
bc7f5305-2e97-4a01-ab91-4913c7c7a00e,Closed Volta,Samba,Silver/Gold,No,,,,,,
c9ad1bcc-2d27-443e-a0f2-3e977b6bcfc4,Contra Bota Fogos,Samba,Silver/Gold,Yes,Contra Bota Fogos,Gold,4,9,https://www.dancecentral.info/ballroom/international-style/samba/contra-botafogos,docs/figures steps/parsed/chunk_1/samba_contra-botafogos.json
5afde26b-0431-4a43-ab66-8f71fc7c74ea,Corta Jaca,Samba,Newcomer/Bronze,Yes,Corta Jaca,Bronze,14,9,https://www.dancecentral.info/ballroom/international-style/samba/corta-jaca,docs/figures steps/parsed/chunk_1/samba_corta-jaca.json
101c2510-08ea-4ece-8b9c-ea814d817ee2,Criss Cross Bota Fogos (Shadow Bota fogos),Samba,Newcomer/Bronze,Yes,Criss Cross Bota Fogos (Shadow Bota fogos),Newcomer,3,4,https://www.dancecentral.info/ballroom/international-style/samba/criss-cross-bota-fogos-shadow-bota-fogos,docs/figures steps/parsed/chunk_1/samba_criss-cross-bota-fogos-shadow-bota-fogos.json
3da97eb9-80a6-49e6-815a-2c5c81f1cade,Criss Cross Voltas (Travelling Voltas to R and L),Samba,Newcomer/Bronze,Yes,Criss Cross Voltas (Travelling Voltas to R and L),Bronze,4,10,https://www.dancecentral.info/ballroom/international-style/samba/criss-cross-voltas,docs/figures steps/parsed/chunk_1/samba_criss-cross-voltas.json
e6bd3b84-25df-463d-8c67-df2e7a01396e,Cruzado Walks and Locks (in Shadow Position),Samba,Silver/Gold,Yes,Cruzado Walks and Locks (in Shadow Position),Gold,3,4,https://www.dancecentral.info/ballroom/international-style/samba/cruzados-walks-and-locks,docs/figures steps/parsed/chunk_1/samba_cruzados-walks-and-locks.json
348f0596-7355-4670-b65b-6c9a0a8af67c,Drag,Samba,Silver/Gold,No,,,,,,
1af6f80f-9fb7-4837-b649-331b66005130,Foot Changes,Samba,Newcomer/Bronze,Yes,Foot Changes,Bronze,4,1,https://www.dancecentral.info/ballroom/international-style/samba/foot-changes,docs/figures steps/parsed/chunk_1/samba_foot-changes.json
d74be591-10a5-4706-97e3-50f7d7fa1acc,Maypole (Continuous Volta Spot Turn to R and L),Samba,Silver/Gold,Yes,Maypole (Continuous Volta Spot Turn to R and L),Silver,1,2,https://www.dancecentral.info/ballroom/international-style/samba/maypole,docs/figures steps/parsed/chunk_1/samba_maypole.json
48c5166c-6113-43c6-9a94-bb8c49911d41,Natural Basic Movement (Alternative),Samba,Newcomer/Bronze,Yes,Natural Basic Movement (Alternative),Newcomer,8,6,https://www.dancecentral.info/ballroom/international-style/samba/basic-movements,docs/figures steps/parsed/chunk_2/samba_basic-movements.json
